time,latitude,longitude,surface_temperature,spatial_ref
2015-04-30,16.625249999999998,-14.87505,46411.5,4326
2015-04-30,16.625249999999998,-14.87475,46408.0,4326
2015-04-30,16.62495,-14.87505,46730.0,4326
2015-04-30,16.62495,-14.87475,46831.5,4326
2015-05-31,16.625249999999998,-14.87505,47124.5,4326
2015-05-31,16.625249999999998,-14.87475,47059.25,4326
2015-05-31,16.62495,-14.87505,47572.0,4326
2015-05-31,16.62495,-14.87475,47610.5,4326
2015-06-30,16.625249999999998,-14.87505,38430.0,4326
2015-06-30,16.625249999999998,-14.87475,38191.5,4326
2015-06-30,16.62495,-14.87505,38342.0,4326
2015-06-30,16.62495,-14.87475,38170.75,4326
2015-07-31,16.625249999999998,-14.87505,38249.25,4326
2015-07-31,16.625249999999998,-14.87475,38384.75,4326
2015-07-31,16.62495,-14.87505,38337.5,4326
2015-07-31,16.62495,-14.87475,38547.5,4326
2015-08-31,16.625249999999998,-14.87505,17900.25,4326
2015-08-31,16.625249999999998,-14.87475,17460.0,4326
2015-08-31,16.62495,-14.87505,18278.75,4326
2015-08-31,16.62495,-14.87475,17853.5,4326
2015-09-30,16.625249999999998,-14.87505,43437.0,4326
2015-09-30,16.625249999999998,-14.87475,43331.25,4326
2015-09-30,16.62495,-14.87505,43423.25,4326
2015-09-30,16.62495,-14.87475,43370.75,4326
2015-10-31,16.625249999999998,-14.87505,46996.5,4326
2015-10-31,16.625249999999998,-14.87475,47022.5,4326
2015-10-31,16.62495,-14.87505,47146.0,4326
2015-10-31,16.62495,-14.87475,47246.0,4326
2015-11-30,16.625249999999998,-14.87505,46533.5,4326
2015-11-30,16.625249999999998,-14.87475,46509.5,4326
2015-11-30,16.62495,-14.87505,46665.75,4326
2015-11-30,16.62495,-14.87475,46779.0,4326
2015-12-31,16.625249999999998,-14.87505,32267.5,4326
2015-12-31,16.625249999999998,-14.87475,32197.75,4326
2015-12-31,16.62495,-14.87505,32265.75,4326
2015-12-31,16.62495,-14.87475,32279.5,4326
2016-01-31,16.625249999999998,-14.87505,43300.75,4326
2016-01-31,16.625249999999998,-14.87475,43160.25,4326
2016-01-31,16.62495,-14.87505,43258.0,4326
2016-01-31,16.62495,-14.87475,43213.0,4326
2016-02-29,16.625249999999998,-14.87505,38825.5,4326
2016-02-29,16.625249999999998,-14.87475,38769.25,4326
2016-02-29,16.62495,-14.87505,38852.75,4326
2016-02-29,16.62495,-14.87475,38882.0,4326
2016-03-31,16.625249999999998,-14.87505,36427.75,4326
2016-03-31,16.625249999999998,-14.87475,36383.75,4326
2016-03-31,16.62495,-14.87505,36445.5,4326
2016-03-31,16.62495,-14.87475,36498.75,4326
2016-04-30,16.625249999999998,-14.87505,48544.25,4326
2016-04-30,16.625249999999998,-14.87475,48508.5,4326
2016-04-30,16.62495,-14.87505,48720.0,4326
2016-04-30,16.62495,-14.87475,48793.5,4326
2016-05-31,16.625249999999998,-14.87505,43724.25,4326
2016-05-31,16.625249999999998,-14.87475,43932.0,4326
2016-05-31,16.62495,-14.87505,43894.75,4326
2016-05-31,16.62495,-14.87475,44152.75,4326
2016-06-30,16.625249999999998,-14.87505,42569.0,4326
2016-06-30,16.625249999999998,-14.87475,42714.0,4326
2016-06-30,16.62495,-14.87505,42982.25,4326
2016-06-30,16.62495,-14.87475,43237.75,4326
2016-07-31,16.625249999999998,-14.87505,47446.25,4326
2016-07-31,16.625249999999998,-14.87475,47416.75,4326
2016-07-31,16.62495,-14.87505,47675.75,4326
2016-07-31,16.62495,-14.87475,47757.25,4326
2016-08-31,16.625249999999998,-14.87505,49919.75,4326
2016-08-31,16.625249999999998,-14.87475,49889.0,4326
2016-08-31,16.62495,-14.87505,49980.5,4326
2016-08-31,16.62495,-14.87475,50066.5,4326
2016-09-30,16.625249999999998,-14.87505,32451.5,4326
2016-09-30,16.625249999999998,-14.87475,32372.5,4326
2016-09-30,16.62495,-14.87505,32588.0,4326
2016-09-30,16.62495,-14.87475,32567.5,4326
2016-10-31,16.625249999999998,-14.87505,49395.0,4326
2016-10-31,16.625249999999998,-14.87475,49385.25,4326
2016-10-31,16.62495,-14.87505,49370.25,4326
2016-10-31,16.62495,-14.87475,49524.25,4326
2016-11-30,16.625249999999998,-14.87505,38499.0,4326
2016-11-30,16.625249999999998,-14.87475,38605.25,4326
2016-11-30,16.62495,-14.87505,38706.0,4326
2016-11-30,16.62495,-14.87475,38899.75,4326
2016-12-31,16.625249999999998,-14.87505,48251.25,4326
